Name,Chapter Affiliation,Zip Code,LinkedIn,Instagram,Phone Number,Email,LinkedIn Public,Instagram Public,Phone Number Public,Email Public
Andrea Cross,YNG Las Vegas,89112,andreacross,NP,+1 (555) 349-3332,andrea.cross@icloud.com,yes,NP,no,yes
Jose Morris,YNG San Francisco,94107,josemorris,josemorris,+1 (555) 554-8107,jose.morris@gmail.com,no,yes,no,no
John Coleman,YNG Utah,84104,johncoleman,NP,NP,john.coleman@yahoo.com,no,NP,NP,no
Tracy Hernandez,YNG Los Angeles,90009,tracyhernandez,NP,NP,tracy.hernandez@company.com,no,NP,NP,yes
John Lyons,YNG Utah,84103,johnlyons,johnlyons,+1 (555) 162-6443,john.lyons@yahoo.com,no,yes,yes,no
Cynthia Harris,YNG Los Angeles,90008,cynthiaharris,cynthiaharris,+1 (555) 366-2801,cynthia.harris@company.com,no,yes,no,yes
Gene Fields,YNG San Francisco,94117,genefields,genefields,+1 (555) 272-3639,gene.fields@company.com,yes,no,no,yes
Thomas Morgan,YNG LA Universities,90038,thomasmorgan,thomasmorgan,+1 (555) 993-3526,thomas.morgan@stanford.edu,no,no,no,yes
Jacqueline Smith,YNG Utah,84104,jacquelinesmith,NP,+1 (555) 628-2527,jacqueline.smith@company.com,no,NP,no,no
Chloe Garcia,YNG San Francisco,94105,NP,chloegarcia,NP,chloe.garcia@stanford.edu,NP,no,NP,yes
Angela Meyer,YNG San Francisco,94115,angelameyer,angelameyer,+1 (555) 891-1143,angela.meyer@yahoo.com,yes,no,no,no
Tom Archer,YNG Seattle,98114,NP,tomarcher,+1 (555) 257-1086,tom.archer@wolfe-fitzgerald.net,NP,no,no,no
Mrs. Elaine Long,YNG LA Universities,90038,mrs.elainelong,mrs.elainelong,+1 (555) 094-5058,mrs..elaine.long@stanford.edu,no,yes,no,no
Lee Anderson,YNG San Diego,92111,NP,leeanderson,+1 (555) 309-6943,lee.anderson@mac.com,NP,yes,no,no
Nicholas Hubbard,YNG Los Angeles,90011,NP,nicholashubbard,+1 (555) 789-1969,nicholas.hubbard@outlook.com,NP,no,no,no
Teresa Solis,YNG Los Angeles,90003,teresasolis,teresasolis,+1 (555) 710-7327,teresa.solis@icloud.com,yes,no,yes,no
Alexis Morgan,YNG San Diego,92107,alexismorgan,alexismorgan,+1 (555) 126-4159,alexis.morgan@gmail.com,no,no,no,yes
Allen Baker,YNG Seattle,98109,allenbaker,allenbaker,+1 (555) 763-4578,allen.baker@hatfield-miller.info,no,yes,yes,no
Allison Sweeney,YNG Utah,84111,allisonsweeney,allisonsweeney,+1 (555) 842-0147,allison.sweeney@gmail.com,yes,no,yes,no
Dr. Charles Murillo,YNG San Diego,92106,dr.charlesmurillo,NP,+1 (555) 533-4652,dr..charles.murillo@icloud.com,yes,NP,no,no
Kevin Martin,YNG LA Universities,90035,kevinmartin,kevinmartin,NP,kevin.martin@aol.com,yes,yes,NP,yes
Matthew Boyle,YNG Utah,84102,matthewboyle,matthewboyle,+1 (555) 335-4461,matthew.boyle@yahoo.com,yes,yes,no,no
Lauren Kirby,YNG Los Angeles,90006,laurenkirby,laurenkirby,+1 (555) 800-9927,lauren.kirby@company.com,no,yes,yes,no
Pamela Buchanan,YNG LA Universities,90043,pamelabuchanan,pamelabuchanan,NP,pamela.buchanan@aol.com,no,no,NP,yes
Douglas Atkins,YNG Utah,84114,douglasatkins,NP,+1 (555) 274-9631,douglas.atkins@stanford.edu,yes,NP,yes,yes
Anthony Horn,YNG Los Angeles,90012,anthonyhorn,anthonyhorn,+1 (555) 536-5551,anthony.horn@yahoo.com,yes,yes,no,no
Michael Stevens,YNG LA Universities,90095,NP,michaelstevens,+1 (555) 149-4529,michael.stevens@watson-johnson.com,NP,yes,no,no
Adrienne Jacobson,YNG LA Universities,90027,adriennejacobson,adriennejacobson,+1 (555) 441-4726,adrienne.jacobson@aol.com,yes,no,no,yes
Bethany Howard,YNG LA Universities,90041,NP,bethanyhoward,+1 (555) 114-9869,bethany.howard@gmail.com,NP,yes,yes,no
Allison Sharp,YNG San Francisco,94110,allisonsharp,allisonsharp,NP,allison.sharp@stanford.edu,no,yes,NP,yes
William Robinson,YNG Seattle,98101,NP,NP,+1 (555) 386-5535,william.robinson@stanford.edu,NP,NP,no,yes
Ashley Jones,YNG Utah,84116,ashleyjones,ashleyjones,+1 (555) 285-3254,ashley.jones@ucla.edu,yes,yes,yes,no
Michael Figueroa,YNG Seattle,98107,michaelfigueroa,NP,NP,michael.figueroa@hunt.com,no,NP,NP,no
William Krause,YNG San Diego,92101,williamkrause,NP,NP,william.krause@mac.com,yes,NP,NP,no
Taylor Roman,YNG Seattle,98116,taylorroman,taylorroman,NP,taylor.roman@ucla.edu,no,no,NP,yes
Jason Wagner,YNG LA Universities,90024,jasonwagner,jasonwagner,NP,jason.wagner@gmail.com,yes,yes,NP,no
Nancy Ayala,YNG LA Universities,90037,nancyayala,NP,+1 (555) 223-2633,nancy.ayala@outlook.com,no,NP,yes,yes
Lauren Davis,YNG Utah,84113,NP,laurendavis,NP,lauren.davis@outlook.com,NP,yes,NP,yes
Matthew Melendez,YNG Utah,84112,matthewmelendez,NP,+1 (555) 480-1014,matthew.melendez@knight-brown.com,no,NP,no,no
Phillip Cook,YNG Los Angeles,90003,phillipcook,phillipcook,+1 (555) 162-5074,phillip.cook@icloud.com,yes,yes,no,no
Lisa Jensen,YNG Las Vegas,89111,lisajensen,lisajensen,+1 (555) 754-8977,lisa.jensen@icloud.com,yes,yes,no,no
Joshua Pollard,YNG Las Vegas,89111,joshuapollard,NP,+1 (555) 302-5285,joshua.pollard@aol.com,no,NP,yes,no
Patrick Hughes,YNG Utah,84114,patrickhughes,patrickhughes,NP,patrick.hughes@wu-love.com,no,yes,NP,yes
Heather White,YNG Las Vegas,89111,heatherwhite,heatherwhite,+1 (555) 136-1881,heather.white@icloud.com,yes,no,no,yes
Steven Russo,YNG San Diego,92108,stevenrusso,stevenrusso,NP,steven.russo@stanford.edu,yes,yes,NP,no
Richard Smith,YNG Los Angeles,90007,richardsmith,NP,+1 (555) 198-1453,richard.smith@company.com,no,NP,yes,yes
Jessica West,YNG Utah,84113,NP,NP,+1 (555) 816-8280,jessica.west@aol.com,NP,NP,no,yes
Ashley Weaver,YNG Utah,84105,ashleyweaver,ashleyweaver,+1 (555) 626-7130,ashley.weaver@company.com,yes,yes,no,no
Daniel Hill,YNG Las Vegas,89110,danielhill,danielhill,+1 (555) 045-9091,daniel.hill@barber.info,no,no,no,yes
Dawn Taylor,YNG Las Vegas,89106,dawntaylor,dawntaylor,+1 (555) 960-7014,dawn.taylor@outlook.com,no,yes,no,no
Marcia Murphy,YNG Las Vegas,89106,NP,marciamurphy,+1 (555) 146-2896,marcia.murphy@arnold.info,NP,no,yes,no
Holly Brewer,YNG San Francisco,94118,hollybrewer,NP,+1 (555) 342-4279,holly.brewer@outlook.com,yes,NP,yes,yes
Wyatt Walsh,YNG Seattle,98115,wyattwalsh,NP,NP,wyatt.walsh@outlook.com,yes,NP,NP,yes
Dr. Amanda Russell,YNG San Diego,92102,dr.amandarussell,dr.amandarussell,+1 (555) 181-9658,dr..amanda.russell@outlook.com,yes,yes,yes,no
Robert Castaneda,YNG Utah,84106,robertcastaneda,NP,NP,robert.castaneda@yahoo.com,no,NP,NP,yes
Dr. Anna Price,YNG San Diego,92110,dr.annaprice,dr.annaprice,NP,dr..anna.price@yahoo.com,yes,no,NP,no
Cheryl Evans,YNG Seattle,98104,cherylevans,NP,+1 (555) 702-9444,cheryl.evans@aol.com,yes,NP,yes,no
Lisa Singh,YNG Utah,84110,NP,lisasingh,+1 (555) 964-7281,lisa.singh@yahoo.com,NP,no,yes,yes
Morgan Greene,YNG Los Angeles,90013,NP,NP,+1 (555) 218-4947,morgan.greene@greene.com,NP,NP,yes,yes
Michelle Love,YNG San Francisco,94107,michellelove,michellelove,NP,michelle.love@company.com,yes,yes,NP,no
David Wall,YNG Utah,84104,davidwall,davidwall,NP,david.wall@yahoo.com,no,yes,NP,yes
Chad Allen,YNG Las Vegas,89109,chadallen,chadallen,+1 (555) 001-6247,chad.allen@company.com,yes,yes,no,no
Amanda Thomas,YNG LA Universities,90095,amandathomas,amandathomas,+1 (555) 132-7044,amanda.thomas@icloud.com,no,no,no,no
Vicki Jensen,YNG Utah,84109,vickijensen,vickijensen,+1 (555) 166-7989,vicki.jensen@stanford.edu,no,yes,no,yes
Heather Wells,YNG LA Universities,90028,heatherwells,heatherwells,+1 (555) 393-7768,heather.wells@outlook.com,yes,yes,yes,no
Gina Leblanc,YNG LA Universities,90028,NP,ginaleblanc,+1 (555) 880-4202,gina.leblanc@icloud.com,NP,no,yes,yes
Michael Black,YNG Los Angeles,90011,NP,NP,+1 (555) 082-9160,michael.black@gmail.com,NP,NP,yes,no
Cameron Lowe,YNG San Diego,92108,cameronlowe,cameronlowe,+1 (555) 920-9333,cameron.lowe@ucla.edu,yes,yes,no,yes
Erin Wilson,YNG Utah,84103,erinwilson,erinwilson,NP,erin.wilson@icloud.com,yes,no,NP,yes
Evan Solomon,YNG San Francisco,94115,evansolomon,evansolomon,+1 (555) 622-2908,evan.solomon@icloud.com,yes,no,yes,no
Jeanette French,YNG San Diego,92111,jeanettefrench,jeanettefrench,+1 (555) 689-9605,jeanette.french@mac.com,no,yes,yes,yes
Jose Chen,YNG San Francisco,94105,josechen,NP,+1 (555) 219-2266,jose.chen@yahoo.com,no,NP,no,no
Alan Bentley,YNG San Diego,92116,alanbentley,alanbentley,+1 (555) 944-3372,alan.bentley@outlook.com,yes,yes,yes,yes
Lisa Hart,YNG LA Universities,90034,lisahart,lisahart,+1 (555) 255-3952,lisa.hart@yahoo.com,yes,no,yes,yes
Sheila Castro,YNG San Francisco,94102,sheilacastro,sheilacastro,NP,sheila.castro@gmail.com,no,no,NP,yes
Roger Lee,YNG San Francisco,94116,rogerlee,NP,+1 (555) 273-4078,roger.lee@mac.com,yes,NP,yes,no
Amber Cowan,YNG LA Universities,90037,ambercowan,ambercowan,+1 (555) 932-7343,amber.cowan@icloud.com,no,no,yes,no
Robert Robinson,YNG San Francisco,94115,NP,robertrobinson,+1 (555) 666-2631,robert.robinson@cox-solis.biz,NP,yes,yes,yes
George Estrada,YNG Los Angeles,90014,georgeestrada,georgeestrada,+1 (555) 951-2735,george.estrada@gmail.com,yes,no,no,yes
Amanda Martinez,YNG Seattle,98116,amandamartinez,NP,NP,amanda.martinez@gmail.com,no,NP,NP,yes
Rhonda Holmes,YNG LA Universities,90027,rhondaholmes,rhondaholmes,NP,rhonda.holmes@outlook.com,no,yes,NP,no
